w1b	w2b	w3b	w4b	l2	l3	l4
20491	4458516	688448	17835520	4479007	5167455	23002975
20491	4458516	16941248	2630912	4479007	21420255	24051167
20491	526628	29392912	1320000	547119	29940031	31260031
20491	526628	29392912	1320448	547119	29940031	31260479
20491	526628	29392912	1451008	547119	29940031	31391039
20491	526628	29392912	1507456	547119	29940031	31447487
20491	526628	29392912	3408064	547119	29940031	33348095
20491	526628	16941248	1312272	547119	17488367	18800639
20491	526628	16941248	1320448	547119	17488367	18808815
20491	526628	1320000	25329680	547119	1867119	27196799
20491	526628	17835072	8683664	547119	18382191	27065855
20491	526628	16909840	3408064	547119	17456959	20865023
20491	526628	21103120	1351744	547119	21650239	23001983
20491	526628	21103120	3408064	547119	21650239	25058303
20491	526628	1320448	25329680	547119	1867567	27197247
20491	526628	1320448	23199760	547119	1867567	25067327
20491	526628	17835520	8683664	547119	18382639	27066303
20491	526628	25297936	5513280	547119	25845055	31358335
20491	526628	25297936	3408064	547119	25845055	29253119
20491	526628	18883600	1507456	547119	19430719	20938175
20491	526628	1352704	23199760	547119	1899823	25099583
20491	526628	8683664	5382208	547119	9230783	14612991
20491	10564	29392912	1835552	31055	29423967	31259519
20491	10564	29392912	1507456	31055	29423967	30931423
20491	10564	29392912	4063232	31055	29423967	33487199
20491	10564	29392912	1967104	31055	29423967	31391071
20491	10564	51511328	8683664	31055	51542383	60226047
20491	10564	1835552	25297936	31055	1866607	27164543
20491	10564	1835552	25329680	31055	1866607	27196287
20491	10564	1835552	23199760	31055	1866607	25066367
20491	11524	29392912	1441888	32015	29424927	30866815
20491	11524	29392912	1704032	32015	29424927	31128959
20491	11524	29392912	1507456	32015	29424927	30932383
20491	11524	29392912	4063232	32015	29424927	33488159
20491	11524	29392912	3408064	32015	29424927	32832991
20491	11524	51511328	8683664	32015	51543343	60227007
20491	534788	29392912	1507456	555279	29948191	31455647
20491	534788	16909840	3408064	555279	17465119	20873183
20491	559364	16909840	3408064	579855	17489695	20897759
20491	559364	21103120	3408064	579855	21682975	25091039
20491	559364	1320448	23199760	579855	1900303	25100063
20491	559364	25297936	3408064	579855	25877791	29285855
20491	559364	18883600	1507456	579855	19463455	20970911
20491	2099476	16941248	1835552	2119967	19061215	20896767
20491	2099476	16941248	1320448	2119967	19061215	20381663
20491	1058884	29392912	34210080	1079375	30472287	64682367
20491	1058884	34210080	25460752	1079375	35289455	60750207
20491	1058884	34210080	8683664	1079375	35289455	43973119
20491	1058884	394768	4751744	1079375	1474143	6225887
20491	1058884	16909840	34373888	1079375	17989215	52363103
20491	1058884	16909840	4719008	1079375	17989215	22708223
20491	1058884	16909840	4751744	1079375	17989215	22740959
20491	1058884	21103120	9175424	1079375	22182495	31357919
20491	1058884	21103120	34373888	1079375	22182495	56556383
20491	1058884	25297936	34373888	1079375	26377311	60751199
20491	1058884	25297936	4719008	1079375	26377311	31096319
