w1	w2	l2
20491	527744	548235
20491	533888	554379
20491	657792	678283
20491	4849808	4870299
20491	688512	709003
20491	3801216	3821707
20491	1835200	1855691
20491	1575056	1595547
20491	1706112	1726603
20491	1581248	1601739
20491	17302788	17323279
20491	1705216	1725707
20491	17572096	17592587
20491	559376	579867
20491	17596672	17617163
20491	656644	677135
20491	664832	685323
20491	690432	710923
20491	17465600	17486091
20491	25821440	25841931
20491	1704964	1725455
20491	1713152	1733643
20491	18351108	18371599
20491	1607936	1628427
20491	1606672	1627163
20491	1606912	1627403
20491	18481184	18501675
20491	18481216	18501707
20491	20578304	20598795
20491	18612352	18632843
20491	18613248	18633739
20491	18481168	18501659
20491	4720912	4741403
20491	4882448	4902939
20491	4718868	4739359
20491	4719876	4740367
20491	4849936	4870427
20491	4981056	5001547
20491	4727056	4747547
20491	4728064	4748555
20491	4989184	5009675
20491	21504256	21524747
20491	4850944	4871435
20491	4851968	4872459
20491	4882688	4903179
20491	21626896	21647387
20491	17301952	17322443
20491	17310016	17330507
20491	17310736	17331227
20491	17434640	17455131
20491	17596432	17616923
20491	17334532	17355023
20491	1058836	1079327
20491	5251120	5271611
20491	1581344	1601835
20491	9445664	9466155
20491	9445520	9466011
20491	1089920	1110411
20491	1581440	1601931
20491	17834272	17854763
20491	18358528	18379019
20491	17835024	17855515
20491	1059088	1079579
20491	1583360	1603851
20491	1089616	1110107
20491	5513232	5533723
20491	18096256	18116747
20491	18098176	18118667
20491	5775376	5795867
20491	5251392	5271883
20491	5775616	5796107
20491	22159360	22179851
20491	34644224	34664715
20491	17989636	18010127
20491	17860640	17881131
20491	1212560	1233051
20491	1606160	1626651
20491	1083472	1103963
20491	18120720	18141211
20491	1181968	1202459
20491	1704208	1724699
20491	18350212	18370703
20491	1574148	1594639
20491	3538960	3559451
20491	19005488	19025979
20491	18876688	18897179
20491	2367760	2388251
20491	18882832	18903323
20491	2891792	2912283
20491	3014672	3035163
20491	3801104	3821595
20491	19529744	19550235
20491	2621588	2642079
20491	3932176	3952667
20491	10488080	10508571
20491	2359572	2380063
20491	18875652	18896143
20491	3408132	3428623
20491	23068944	23089435
20491	2105620	2126111
20491	2629904	2650395
20491	6299920	6320411
20491	2629952	2650443
20491	18884864	18905355
20491	2261264	2281755
20491	2492672	2513163
20491	3801344	3821835
20491	3539200	3559691
20491	19529984	19550475
20491	10494224	10514715
20491	3408064	3428555
20491	18882880	18903371
20491	4718740	4739231
20491	4980784	5001275
20491	21495856	21516347
20491	4194768	4215259
20491	4196500	4216991
20491	4458640	4479131
20491	4202644	4223135
20491	4718768	4739259
20491	4202896	4223387
20491	4195728	4216219
20491	4197520	4218011
20491	4229264	4249755
20491	21233808	21254299
20491	4195716	4216207
20491	4719008	4739499
20491	4456896	4477387
20491	4196752	4217243
20491	4197760	4218251
20491	4458880	4479371
20491	4202944	4223435
20491	4465024	4485515
20491	20980096	21000587
20491	4489600	4510091
20491	4751744	4772235
20491	4327808	4348299
20491	4587904	4608395
20491	4457856	4478347
20491	4718992	4739483
20491	21496192	21516683
20491	5246080	5266571
20491	5767312	5787803
20491	20972804	20993295
20491	4456752	4477243
20491	4719040	4739531
20491	4983040	5003531
20491	4202772	4223263
20491	4202884	4223375
20491	20979984	21000475
20491	20980032	21000523
20491	20982016	21002507
20491	37757200	37777691
20491	4358416	4378907
20491	21234048	21254539
20491	4981008	5001499
20491	6422800	6443291
20491	38011152	38031643
20491	21498112	21518603
20491	4326420	4346911
20491	4595728	4616219
20491	4326660	4347151
20491	4333888	4354379
20491	5112064	5132555
20491	4850048	4870539
20491	5382208	5402699
20491	22153216	22173707
20491	6160384	6180875
20491	21235728	21256219
20491	23199760	23220251
20491	8397076	8417567
20491	25176080	25196571
20491	8519956	8540447
20491	9830416	9850907
20491	9570320	9590811
20491	25559296	25579787
20491	17039508	17059999
20491	17042448	17062939
20491	17432720	17453211
20491	16785684	16806175
20491	17072400	17092891
20491	17432960	17453451
20491	17826180	17846671
20491	18088964	18109455
20491	18090000	18110491
20491	33825040	33845531
20491	34341136	34361627
20491	51118096	51138587
20491	33556868	33577359
20491	33825028	33845519
20491	50340100	50360591
20491	33825088	33845579
20491	50340160	50360651
20491	50341120	50361611
20491	34873600	34894091
8219	37252	45471
8219	1053060	1061279
8219	541060	549279
8219	295300	303519
8219	132484	140703
8219	133508	141727
8219	135556	143775
8219	147844	156063
8219	164228	172447
8219	655748	663967
8219	1180036	1188255
8219	786820	795039
8219	6291844	6300063
8219	18874756	18882975
8219	149636	157855
8219	18820	27039
8219	16794756	16802975
8219	53380	61599
8219	311428	319647
8219	671876	680095
8219	1097860	1106079
8219	1327236	1335455
8219	1589380	1597599
8219	9453700	9461919
8219	4211844	4220063
8219	4472964	4481183
8219	393604	401823
8219	1310916	1319135
8219	1085572	1093791
8219	1314948	1323167
8219	1181828	1190047
8219	1183876	1192095
8219	526628	534847
8219	297220	305439
8219	559364	567583
8219	280644	288863
8219	542980	551199
8219	16796676	16804895
8219	55300	63519
8219	313348	321567
8219	280708	288927
8219	542852	551071
8219	804868	813087
8219	1198084	1206303
8219	1591300	1599519
8219	17057796	17066015
8219	1087492	1095711
8219	540996	549215
8219	278820	287039
8219	280836	289055
8219	409860	418079
8219	16797732	16805951
8219	315396	323615
8219	577540	585759
8219	1331204	1339423
8219	311556	319775
8219	17088516	17096735
8219	1359876	1368095
8219	147780	155999
8219	410628	418847
8219	16925700	16933919
8219	413700	421919
8219	182276	190495
8219	442372	450591
8219	17186820	17195039
8219	16926724	16934943
8219	17318020	17326239
8219	17580036	17588255
8219	1065156	1073375
8219	1458180	1466399
8219	1720324	1728543
8219	4474884	4483103
8219	21118980	21127199
8219	17874948	17883167
8219	168196	176415
8219	426244	434463
8219	671780	679999
8219	933892	942111
8219	1228804	1237023
8219	4343812	4352031
8219	4603908	4612127
8219	1216516	1224735
8219	1441924	1450143
8219	1966084	1974303
8219	1704068	1712287
8219	4849796	4858015
8219	17465348	17473567
8219	17694724	17702943
8219	1311012	1319231
8219	1311108	1319327
8219	1316868	1325087
8219	17831940	17840159
8219	1575172	1583391
8219	1837060	1845279
8219	1441828	1450047
8219	1196292	1204511
8219	1443844	1452063
8219	17958916	17967135
8219	20054020	20062239
8219	18088068	18096287
8219	1835268	1843487
8219	25168132	25176351
8219	16799748	16807967
8219	16910596	16918815
8219	18219012	18227231
8219	17319940	17328159
8219	53284	61503
8219	1048996	1057215
8219	524768	532987
8219	2468	10687
8219	268576	276795
8219	16783648	16791867
8219	526752	534971
8219	1055008	1063227
8219	397600	405819
8219	917792	926011
8219	655776	663995
8219	17039776	17047995
8219	17563936	17572155
8219	524708	532927
8219	17303840	17312059
8219	9470240	9478459
8219	3364	11583
8219	264484	272703
8219	39200	47419
8219	297248	305467
8219	657696	665915
8219	265504	273723
8219	788768	796987
8219	19492	27711
8219	280612	288831
8219	280672	288891
8219	543008	551227
8219	313376	321595
8219	16926752	16934971
8219	280736	288955
8219	804896	813115
8219	1198112	1206331
8219	1591328	1599547
8219	4213792	4222011
8219	4474912	4483131
8219	17319968	17328187
8219	17828896	17837115
8219	1087520	1095739
8219	1706016	1714235
8219	1312928	1321147
8219	1313824	1322043
8219	18352160	18360379
8219	1327140	1335359
8219	1327200	1335419
8219	280864	289083
8219	803104	811323
8219	18724	26943
8219	281632	289851
8219	16796704	16804923
8219	16924708	16932927
8219	410656	418875
8219	16925728	16933947
8219	933920	942139
8219	671904	680123
8219	17448992	17457211
8219	1200160	1208379
8219	540836	549055
8219	1589536	1597755
8219	1329184	1337403
8219	1458208	1466427
8219	1589408	1597627
8219	18366496	18374715
8219	25184288	25192507
8219	575520	583739
8219	393568	401787
8219	394528	402747
8219	34210080	34218299
8219	148516	156735
8219	409696	417915
8219	409760	417979
8219	4343840	4352059
